Name,Mileage,Dealer Name,Rating,rating_count,price
2018 Mercedes-Benz E-Class E 300,"48,055 mi.",Mercedes-Benz of Alexandria,4.6,79 ,"$42,997"
2019 Mercedes-Benz E-Class E 450,"23,951 mi.",Mercedes-Benz of Silver Spring,4.8,"1,478 ","$51,900"
2019 Mercedes-Benz GLC 300 4MATIC,"31,767 mi.",Mercedes-Benz of Westwood,4.8,124 ,"$39,946"
2018 Mercedes-Benz E-Class E 300,"16,196 mi.",Mercedes-Benz of Hanover,4.7,86 ,"$47,705"
2018 Mercedes-Benz AMG C 43 Base 4MATIC,"41,863 mi.",Mercedes-Benz of Walnut Creek,4.6,680 ,"$43,999"
2018 Mercedes-Benz AMG GLC 43 Base 4MATIC,"23,969 mi.",Mercedes-Benz of Plano,4.4,"1,003 ","$51,000"
2020 Mercedes-Benz C-Class C 300,"19,649 mi.",Mercedes-Benz of Sugar Land,3.6,53 ,"$44,989"
2018 Mercedes-Benz C-Class C 300 4MATIC,"36,256 mi.",Mercedes-Benz of Catonsville,4.0,133 ,"$34,990"
2017 Mercedes-Benz AMG GLE 43 Coupe 4MATIC,"47,463 mi.",Mercedes-Benz of Littleton,4.9,940 ,"$58,999"
2019 Mercedes-Benz GLC 300 Base 4MATIC,"35,017 mi.",Mercedes-Benz of Hanover,4.7,86 ,"$39,936"
2018 Mercedes-Benz GLC 300 Base,"41,751 mi.",Mercedes-Benz of Gainesville,4.8,754 ,"$35,203"
2019 Mercedes-Benz CLA 250 Base,"23,515 mi.",Mercedes-Benz of Pembroke Pines,4.6,742 ,"$34,595"
2018 Mercedes-Benz GLE 350 Base,"22,187 mi.",Mercedes-Benz of North Scottsdale,4.9,340 ,"$46,988"
2019 Mercedes-Benz S-Class S 560 4MATIC,"36,254 mi.",Mercedes-Benz of North Olmsted,4.9,"1,501 ","$81,429"
2019 Mercedes-Benz GLA 250 Base,"11,125 mi.",RBM of Atlanta,4.9,"1,001 ","$35,746"
2019 Mercedes-Benz GLA 250 Base,"31,265 mi.",Mercedes-Benz of Pembroke Pines,4.6,742 ,"$32,895"
2018 Mercedes-Benz AMG C 43 4MATIC,"24,564 mi.",Mercedes-Benz of Warwick,4.7,56 ,"$47,495"
2018 Mercedes-Benz E-Class E 400,"41,123 mi.",Mercedes-Benz of Foothill Ranch,4.7,517 ,"$55,888"
2021 Mercedes-Benz GLC 300 4MATIC,"9,439 mi.",Mercedes-Benz of Westwood,4.8,124 ,"$48,991"
2018 Mercedes-Benz C-Class C 300 4MATIC,"44,204 mi.","Viti, Inc.",4.9,591 ,"$36,295"
2019 Mercedes-Benz GLS 450 Base 4MATIC,"44,379 mi.",Mercedes-Benz of Massapequa,4.8,"1,546 ","$62,895"
2018 Mercedes-Benz C-Class C 300,"30,113 mi.",Mercedes-Benz of Stevens Creek,4.7,"1,191 ","$30,995"
2018 Mercedes-Benz GLE 350 Base 4MATIC,"31,203 mi.",Mercedes-Benz of North Haven,4.8,910 ,"$43,995"
2020 Mercedes-Benz GLC 300 Base 4MATIC,"12,438 mi.",Mercedes-Benz of Chicago,4.7,"1,066 ","$50,140"
2019 Mercedes-Benz GLC 300 Base 4MATIC,"34,342 mi.",Mercedes-Benz of Walnut Creek,4.6,680 ,"$36,788"
2020 Mercedes-Benz GLC 300 Base,"41,063 mi.",Mercedes-Benz of Laguna Niguel,4.8,"1,458 ","$39,488"
2018 Mercedes-Benz E-Class E 300,"47,545 mi.",Mercedes-Benz of Walnut Creek,4.6,680 ,"$34,988"
2018 Mercedes-Benz E-Class E 300,"14,057 mi.",Mercedes-Benz of Fort Washington,4.5,"1,963 ","$45,832"
2018 Mercedes-Benz GLC 300 Base 4MATIC,"35,157 mi.",Autobahn Motors,4.6,890 ,"$35,999"
2019 Mercedes-Benz AMG GLE 43 4MATIC Coupe,"31,691 mi.",Euro Motorcars Devon,4.7,294 ,"$71,951"
2018 Mercedes-Benz C-Class C 300 4MATIC,"50,196 mi.",Mercedes-Benz Of Hagerstown,4.9,"2,655 ","$34,999"
2018 Mercedes-Benz E-Class E 300,"17,571 mi.",Mercedes-Benz of Santa Rosa,4.3,16 ,"$43,900"
2018 Mercedes-Benz S-Class S 560 4MATIC,"36,386 mi.",Benzel-Busch Motor Car,4.8,"4,161 ","$75,978"
2018 Mercedes-Benz GLE 350 4MATIC,"46,807 mi.",Mercedes-Benz of Westwood,4.8,124 ,"$40,776"
2018 Mercedes-Benz GLE 350 Base 4MATIC,"40,056 mi.",Mercedes-Benz Of Hagerstown,4.9,"2,655 ","$46,999"
2020 Mercedes-Benz GLE 350 Base 4MATIC,"11,484 mi.",Mercedes-Benz of Plano,4.4,"1,003 ","$61,000"
2018 Mercedes-Benz C-Class C 300,"35,958 mi.",Mercedes-Benz of Walnut Creek,4.6,680 ,"$32,588"
2019 Mercedes-Benz AMG G 63 Base,"13,784 mi.",Mercedes Benz of Hoffman Estates,4.7,"1,026 ","$217,999"
2018 Mercedes-Benz E-Class E 300 4MATIC,"30,011 mi.",Feldmann Imports,4.6,127 ,"$41,033"
2021 Mercedes-Benz GLC 300 Base 4MATIC,"8,910 mi.",Benzel-Busch Motor Car,4.8,"4,161 ","$49,991"
2019 Mercedes-Benz GLC 300 Base 4MATIC,"10,122 mi.",Mercedes-Benz of El Dorado Hills,4.7,"1,912 ","$44,995"
2018 Mercedes-Benz C-Class C 300 4MATIC,"19,562 mi.",Mercedes-Benz of Plano,4.4,"1,003 ","$36,000"
2020 Mercedes-Benz GLB 250 Base,"18,191 mi.",Mercedes-Benz of Atlanta Northeast,4.9,"1,683 ","$45,672"
2018 Mercedes-Benz GLC 300 Base 4MATIC,"19,864 mi.",Morrie's Mercedes Benz of St. Paul,4.3,20 ,"$38,995"
2018 Mercedes-Benz C-Class C 300,"45,819 mi.",Mercedes-Benz of Fort Lauderdale,4.6,867 ,"$29,999"
2018 Mercedes-Benz C-Class C 300,"31,623 mi.",Fletcher Jones Imports,4.9,"2,131 ","$32,995"
2018 Mercedes-Benz C-Class C 300 4MATIC,"24,770 mi.",Mercedes-Benz Of Rochester,4.7,80 ,"$34,995"
2019 Mercedes-Benz S-Class S 560 4MATIC,"14,328 mi.",Mercedes-Benz of Catonsville,4.0,133 ,"$90,990"
2018 Mercedes-Benz E-Class E 400,"35,836 mi.",Mercedes-Benz of Encino,4.1,20 ,"$39,997"
2018 Mercedes-Benz C-Class C 300,"36,068 mi.",Mercedes-Benz of Walnut Creek,4.6,680 ,"$27,788"
2018 Mercedes-Benz C-Class C 300,"39,527 mi.",Mercedes-Benz of Walnut Creek,4.6,680 ,"$28,999"
2018 Mercedes-Benz GLE 350 Base,"45,750 mi.",Mercedes-Benz of Clearwater,4.2,78 ,"$41,793"
2018 Mercedes-Benz E-Class E 300,"24,966 mi.",Mercedes-Benz of St Louis,4.5,61 ,"$47,930"
2019 Mercedes-Benz CLA 250 Base,"43,088 mi.",Mercedes-Benz of Plano,4.4,"1,003 ","$30,000"
2019 Mercedes-Benz GLS 450 Base 4MATIC,"28,605 mi.",Mercedes-Benz of Houston Greenway,4.8,"1,397 ","$61,991"
2018 Mercedes-Benz GLC 300 Base 4MATIC,"15,833 mi.",Mercedes-Benz of Easton,4.7,647 ,"$40,995"
2018 Mercedes-Benz E-Class E 300,"29,466 mi.",Mercedes-Benz of Lancaster,4.8,39 ,"$46,990"
2018 Mercedes-Benz C-Class C 300 4MATIC,"23,175 mi.",Mercedes-Benz of Silver Spring,4.8,"1,478 ","$34,900"
2019 Mercedes-Benz GLE 400 Base 4MATIC,"34,277 mi.",Mercedes-Benz of Pleasanton,2.9,25 ,"$46,987"
2018 Mercedes-Benz C-Class C 300 4MATIC,"37,069 mi.",Mercedes-Benz of Warwick,4.7,56 ,"$32,495"
2017 Mercedes-Benz GLA 250 Base 4MATIC,"58,968 mi.",Mercedes-Benz of Pleasanton,2.9,25 ,"$26,929"
2019 Mercedes-Benz GLS 450 Base 4MATIC,"22,885 mi.",Mercedes-Benz of Bellevue,4.7,482 ,"$64,980"
2018 Mercedes-Benz E-Class E 300,"41,223 mi.",Autobahn Motors,4.6,890 ,"$38,996"
2018 Mercedes-Benz AMG C 43 Base 4MATIC,"12,046 mi.",Mercedes-Benz of Atlanta Northeast,4.9,"1,683 ","$64,444"
2019 Mercedes-Benz S-Class S 560 4MATIC,"1,564 mi.",Mercedes-Benz of Chicago,4.7,"1,066 ","$99,982"
2018 Mercedes-Benz GLE 350 Base 4MATIC,"21,136 mi.",Mercedes-Benz of San Francisco / Smart Center San Francisco,3.6,13 ,"$44,970"
2018 Mercedes-Benz C-Class C 300,"21,667 mi.",Autobahn Motors,4.6,890 ,"$31,997"
2018 Mercedes-Benz AMG C 43 Base 4MATIC,"14,840 mi.",Mercedes-Benz of Alexandria,4.6,79 ,"$58,874"
2019 Mercedes-Benz GLC 350e Base 4MATIC,"15,475 mi.",Mercedes-Benz of South Bay,4.7,901 ,"$41,991"
2017 Mercedes-Benz E-Class E 300,"54,872 mi.",Mercedes-Benz of Hanover,4.7,86 ,"$35,974"
2017 Mercedes-Benz E-Class E 300,"56,028 mi.",Mercedes-Benz of South Charlotte,4.8,161 ,"$36,514"
2018 Mercedes-Benz AMG S 63 Base 4MATIC,"13,842 mi.",Mercedes-Benz of Stevens Creek,4.7,"1,191 ","$149,979"
2018 Mercedes-Benz AMG C 43 Base 4MATIC,"15,626 mi.",RBM of Atlanta,4.9,"1,001 ","$58,968"
